"variable","standard"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","larger"
"Methods","Sensory evaluation/taste testing"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","larger"
"Methods","Sensory evaluation/taste testing"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","grain size"
"Preference","larger"
"Methods","Sensory evaluation/taste testing"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Survey/questionnaire"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Survey/questionnaire"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Survey/questionnaire"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Survey/questionnaire"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Participatory plant breeding"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Participatory plant breeding"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Participatory plant breeding"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Participatory plant breeding"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Sensory evaluation/taste testing"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Sensory evaluation/taste testing"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Sensory evaluation/taste testing"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Color"
"Preference","yellow or white, not grey"
"Methods","Sensory evaluation/taste testing"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Survey/questionnaire"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Survey/questionnaire"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Survey/questionnaire"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Survey/questionnaire"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Participatory plant breeding"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Participatory plant breeding"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Participatory plant breeding"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Participatory plant breeding"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Sensory evaluation/taste testing"
"Analysis","Chi-Squared test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Sensory evaluation/taste testing"
"Analysis","iterative binomial logistic analysis"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Sensory evaluation/taste testing"
"Analysis","changes in deviations ratios"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Pearl Millet"
"VC Actor","Farmer/grower"
"Trait","Shape"
"Preference","Round over oval"
"Methods","Sensory evaluation/taste testing"
"Analysis","Fishers exact test"
"Publication Type","Research article"
"Type of study","Experimental study"
"Software","No/not reported"
"Country","Niger"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Focus group"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Focus group"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Focus group"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Focus group"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Focus group"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Focus group"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Ranking"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Ranking"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Ranking"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Ranking"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Ranking"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Ranking"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Hedonic scale"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Hedonic scale"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Hedonic scale"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Hedonic scale"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Hedonic scale"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Hedonic scale"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Participatory plant breeding"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Participatory plant breeding"
"Analysis","ANOVA"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Participatory plant breeding"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Participatory plant breeding"
"Analysis","proportional odds model"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Participatory plant breeding"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","SAS"
"Country","Burkina Faso"
"Crop","Sorghum"
"VC Actor","Farmer/grower"
"Trait","grain color"
"Preference","white"
"Methods","Participatory plant breeding"
"Analysis","logistic regression"
"Publication Type","Research article"
"Type of study","Mixed methods"
"Software","Other:  XL-STAT, PLABSTAT"
